Index,Order ID,Order Date_x,Ship Mode_x,Customer ID,Customer Name_x,Origin Channel,Country/Region,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit,Arrival Scan Date,Customer Name_y,Row ID,Order Date_y,On Truck Scan Date,Ship Mode_y,Ready to Ship Date,Pickup Date,delivery_time_days,total_delivery_time_days,order_Month,Order_YearMonth,order_weekday,on_truck_weekday,warehouse_time_days
252,CA-2019-145625,2019-09-11,Standard Class,KC-16540,Kelly Collister,Email,United States,San Diego,California,92037.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003832,3347.37,13,0.0,636.0002999999997,2019-09-23,Kelly Collister,251.0,2019-09-11,2019-09-18,Standard Processing,2019-09-17,2019-09-18,5,12,September,2019-09,Wednesday,Wednesday,7
325,CA-2019-162138,2019-04-23,Standard Class,GK-14620,Grace Kelly,Sales,United States,Hesperia,California,92345.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001908,99.99,1,0.0,34.9965,2019-05-06,Grace Kelly,324.0,2019-04-23,2019-05-01,Standard Processing,,,5,13,April,2019-04,Tuesday,Wednesday,8
494,CA-2019-169166,2019-05-09,Standard Class,SS-20590,Sonia Sunley,Email,United States,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000991,93.98,2,0.0,13.157200000000003,2019-05-20,Sonia Sunley,494.0,2019-05-09,2019-05-15,Standard Processing,,,5,11,May,2019-05,Thursday,Wednesday,6
734,CA-2020-131954,2020-01-21,Standard Class,DS-13030,Darrin Sayre,Facebook,United States,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003610,179.97,3,0.0,86.38560000000001,2020-02-03,Darrin Sayre,733.0,2020-01-21,2020-01-29,Standard Processing,,,5,13,January,2020-01,Tuesday,Wednesday,8
1042,CA-2019-102981,2019-09-06,Second Class,MO-17500,Mary O'Rourke,Email,United States,New York City,New York,10035.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004761,31.86,2,0.0,11.151,2019-09-16,Mary O'Rourke,1042.0,2019-09-06,2019-09-11,Standard Processing,2019-09-09,2019-09-11,5,10,September,2019-09,Friday,Wednesday,5
1180,CA-2019-168081,2019-04-24,Second Class,CA-12055,Cathy Armstrong,Facebook,United States,Houston,Texas,77070.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003174,258.696,3,0.2,64.674,2019-05-06,Cathy Armstrong,1180.0,2019-04-24,2019-05-01,Standard Processing,,,5,12,April,2019-04,Wednesday,Wednesday,7
1277,CA-2019-119186,2019-05-26,First Class,MS-17710,Maurice Satty,Email,United States,Fort Worth,Texas,76106.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000580,63.992,1,0.2,-7.199099999999996,2019-05-31,Maurice Satty,1274.0,2019-05-26,2019-05-28,Express,,,3,5,May,2019-05,Sunday,Tuesday,2
1399,CA-2019-124485,2019-11-24,First Class,NC-18340,Nat Carroll,Email,United States,New York City,New York,10035.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002323,88.4,4,0.0,11.492000000000004,2019-12-02,Nat Carroll,1397.0,2019-11-24,2019-11-27,Express,,,5,8,November,2019-11,Sunday,Wednesday,3
1415,CA-2020-115994,2020-01-28,Second Class,BT-11305,Beth Thompson,Facebook,United States,Costa Mesa,California,92627.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000580,239.97,3,0.0,26.39670000000001,2020-02-06,Beth Thompson,1415.0,2020-01-28,2020-02-03,Standard Processing,,,3,9,January,2020-01,Tuesday,Monday,6
1635,CA-2019-106530,2019-05-08,First Class,CL-12565,Clay Ludtke,Email,United States,Cleveland,Ohio,44105.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10001465,58.112,2,0.2,7.263999999999994,2019-05-13,Clay Ludtke,1631.0,2019-05-08,2019-05-08,Express,,,5,5,May,2019-05,Wednesday,Wednesday,0
1665,CA-2019-128531,2019-11-24,Second Class,NS-18505,Neola Schneider,Email,United States,Dallas,Texas,75217.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10002049,297.576,3,0.2,-7.439400000000035,2019-12-03,Neola Schneider,1664.0,2019-11-24,2019-11-29,Standard Processing,,,4,9,November,2019-11,Sunday,Friday,5
2170,CA-2020-117870,2020-01-27,Second Class,JH-15820,John Huston,Email,United States,Kent,Ohio,44240.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000927,71.976,3,0.2,-8.997000000000003,2020-02-06,John Huston,2169.0,2020-01-27,2020-01-31,Standard Processing,,,6,10,January,2020-01,Monday,Friday,4
2454,CA-2020-140949,2020-03-17,Second Class,DB-13405,Denny Blanton,Email,United States,New York City,New York,10011.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002399,57.06,3,0.0,18.2592,2020-03-30,Denny Blanton,2451.0,2020-03-17,2020-03-25,Standard Processing,,,5,13,March,2020-03,Tuesday,Wednesday,8
2514,CA-2019-124506,2019-11-11,Standard Class,BB-11545,Brenda Bowman,Sales,United States,Chicago,Illinois,60623.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003280,95.968,4,0.2,1.1995999999999931,2019-11-25,Brenda Bowman,2514.0,2019-11-11,2019-11-20,Standard Processing,,,5,14,November,2019-11,Monday,Wednesday,9
2731,CA-2020-104801,2020-02-13,Standard Class,FH-14350,Fred Harton,Email,United States,Seattle,Washington,98105.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001838,799.96,4,0.0,343.98280000000005,2020-02-24,Fred Harton,2730.0,2020-02-13,2020-02-21,Standard Processing,,,3,11,February,2020-02,Thursday,Friday,8
3351,CA-2019-147536,2019-12-26,Standard Class,AR-10510,Andrew Roberts,Email,United States,New York City,New York,10024.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003280,89.97,3,0.0,18.893699999999995,2020-01-06,Andrew Roberts,3351.0,2019-12-26,2020-01-03,Standard Processing,,,3,11,December,2019-12,Thursday,Friday,8
3504,CA-2020-125115,2020-04-10,First Class,RD-19930,Russell D'Ascenzo,Email,United States,Austin,Texas,78745.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001714,95.736,3,0.2,20.3439,2020-04-14,Russell D'Ascenzo,3503.0,2020-04-10,2020-04-10,Express,,,4,4,April,2020-04,Friday,Friday,0
