Index,Order ID,Order Date_x,Ship Mode_x,Customer ID,Customer Name_x,Origin Channel,Country/Region,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit,Order_YearMonth,Order_YearMonth_str,Arrival Scan Date,Customer Name_y,Row ID,Order Date_y,On Truck Scan Date,Ship Mode_y,Ready to Ship Date,Pickup Date
27,CA-2019-121755,2019-01-16,Second Class,EH-13945,Eric Hoffmann,Email,United States,Los Angeles,California,90049.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003027,90.57000000000001,3,0.0,11.774100000000004,2019-01,01.2019,,,26.0,2019-01-16,2019-01-23,Standard Processing,,
45,CA-2019-118255,2019-03-11,First Class,ON-18715,Odella Nelson,Sales,United States,Eagan,Minnesota,55122.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000171,45.98,2,0.0,19.7714,2019-03,03.2019,,,45.0,2019-03-11,2019-03-13,Express,,
48,CA-2019-169194,2019-06-20,Standard Class,LH-16900,Lena Hernandez,Email,United States,Dover,Delaware,19901.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,45.0,3,0.0,4.950000000000001,2019-06,06.2019,,,48.0,2019-06-20,2019-06-26,Standard Processing,,
60,CA-2019-111682,2019-06-17,First Class,TB-21055,Ted Butterfield,Email,United States,Troy,New York,12180.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,30.0,2,0.0,3.3000000000000007,2019-06,06.2019,,,56.0,2019-06-17,2019-06-19,Express,,
63,CA-2018-135545,2018-11-24,Standard Class,KM-16720,Kunst Miller,Email,United States,Los Angeles,California,90004.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004633,13.98,2,0.0,6.151200000000001,2018-11,11.2018,,,,,,,,
87,CA-2020-155558,2020-10-26,Standard Class,PG-18895,Paul Gonzalez,Email,United States,Rochester,Minnesota,55901.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001998,19.99,1,0.0,6.796599999999998,2020-10,10.2020,,,87.0,2020-10-26,2020-11-04,Standard Processing,,
101,CA-2019-158568,2019-08-29,Standard Class,RB-19465,Rick Bensley,Facebook,United States,Chicago,Illinois,60610.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001767,95.97600000000001,3,0.2,-10.79730000000001,2019-08,08.2019,,,100.0,2019-08-29,2019-09-04,Standard Processing,,
104,US-2018-156867,2018-11-13,Standard Class,LC-16870,Lena Cacioppo,Email,United States,Aurora,Colorado,80013.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001552,238.89600000000002,6,0.2,-26.875800000000012,2018-11,11.2018,,,,,,,,
107,CA-2020-119004,2020-11-23,Standard Class,JM-15250,Janet Martin,Email,United States,Charlotte,North Carolina,28205.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003499,74.11200000000001,8,0.2,17.6016,2020-11,11.2020,,,107.0,2020-11-23,2020-12-02,Standard Processing,2020-11-30,2020-12-02
110,CA-2018-129476,2018-10-15,Standard Class,PA-19060,Pete Armstrong,Facebook,United States,Orland Park,Illinois,60462.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000844,339.96000000000004,5,0.2,67.99199999999996,2018-10,10.2018,,,,,,,,
