order id,order date,ship mode,customer id,customer name,origin channel,city,state,postal code,region,arrival scan date,on truck scan date,ready to ship date,pickup date,order_date_day,arrival_scan_day,on_truck_scan_day,ready_to_ship_day,pickup_day
CA-2019-121755,2019-01-16,Second Class,EH-13945,Eric Hoffmann,Email,Los Angeles,California,90049,West,,2019-01-23,,,Wednesday,,Wednesday,,
CA-2019-118255,2019-03-11,First Class,ON-18715,Odella Nelson,Sales,Eagan,Minnesota,55122,Central,,2019-03-13,,,Monday,,Wednesday,,
CA-2019-169194,2019-06-20,Standard Class,LH-16900,Lena Hernandez,Email,Dover,Delaware,19901,East,,2019-06-26,,,Thursday,,Wednesday,,
CA-2019-111682,2019-06-17,First Class,TB-21055,Ted Butterfield,Email,Troy,New York,12180,East,,2019-06-19,,,Monday,,Wednesday,,
CA-2018-135545,2018-11-24,Standard Class,KM-16720,Kunst Miller,Email,Los Angeles,California,90004,West,,,,,Saturday,,,,
CA-2020-155558,2020-10-26,Standard Class,PG-18895,Paul Gonzalez,Email,Rochester,Minnesota,55901,Central,,2020-11-04,,,Monday,,Wednesday,,
CA-2019-158568,2019-08-29,Standard Class,RB-19465,Rick Bensley,Facebook,Chicago,Illinois,60610,Central,,2019-09-04,,,Thursday,,Wednesday,,
US-2018-156867,2018-11-13,Standard Class,LC-16870,Lena Cacioppo,Email,Aurora,Colorado,80013,West,,,,,Tuesday,,,,
CA-2020-119004,2020-11-23,Standard Class,JM-15250,Janet Martin,Email,Charlotte,North Carolina,28205,South,,2020-12-02,2020-11-30,2020-12-02,Monday,,Wednesday,Monday,Wednesday
CA-2018-129476,2018-10-15,Standard Class,PA-19060,Pete Armstrong,Facebook,Orland Park,Illinois,60462,Central,,,,,Monday,,,,
CA-2018-119697,2018-12-28,Second Class,EM-13960,Eric Murdock,Email,Philadelphia,Pennsylvania,19134,East,,,,,Friday,,,,
CA-2017-166191,2017-12-05,Second Class,DK-13150,David Kendrick,Sales,Decatur,Illinois,62521,Central,,,,,Tuesday,,,,
CA-2017-158274,2017-11-19,Second Class,RM-19675,Robert Marley,Facebook,Monroe,Louisiana,71203,South,,,,,Sunday,,,,
CA-2017-123260,2017-08-26,Standard Class,FM-14290,Frank Merwin,Facebook,Los Angeles,California,90032,West,,,,,Saturday,,,,
CA-2018-101007,2018-02-09,Second Class,MS-17980,Michael Stewart,Sales,Dallas,Texas,75220,Central,,,,,Friday,,,,
CA-2018-146262,2018-01-02,Standard Class,VW-21775,Victoria Wilson,Sales,Medina,Ohio,44256,East,,,,,Tuesday,,,,
US-2020-100930,2020-04-07,Standard Class,CS-12400,Christopher Schild,Facebook,Tampa,Florida,33614,South,,2020-04-15,,,Tuesday,,Wednesday,,
CA-2019-145625,2019-09-11,Standard Class,KC-16540,Kelly Collister,Email,San Diego,California,92037,West,2019-09-23,2019-09-18,2019-09-17,2019-09-18,Wednesday,Monday,Wednesday,Tuesday,Wednesday
CA-2020-163139,2020-12-01,Second Class,CC-12670,Craig Carreira,Email,New York City,New York,10009,East,,2020-12-04,,,Tuesday,,Friday,,
CA-2018-155040,2018-11-10,Standard Class,AH-10210,Alan Hwang,Email,Brentwood,California,94513,West,,,,,Saturday,,,,
CA-2018-155334,2018-07-30,First Class,HA-14920,Helen Andreada,Email,San Francisco,California,94109,West,,,,,Monday,,,,
CA-2018-130883,2018-09-26,Standard Class,TB-21520,Tracy Blumstein,Email,Portland,Oregon,97206,West,,,,,Wednesday,,,,
CA-2019-110772,2019-11-20,Second Class,NZ-18565,Nick Zandusky,Facebook,Columbus,Ohio,43229,East,,2019-11-27,,,Wednesday,,Wednesday,,
CA-2017-164973,2017-11-04,Standard Class,NM-18445,Nathan Mautz,Facebook,New York City,New York,10024,East,,,,,Saturday,,,,
CA-2019-162138,2019-04-23,Standard Class,GK-14620,Grace Kelly,Sales,Hesperia,California,92345,West,2019-05-06,2019-05-01,,,Tuesday,Monday,Wednesday,,
CA-2019-129714,2019-09-01,First Class,AB-10060,Adam Bellavance,Facebook,New York City,New York,10009,East,,2019-09-04,,,Sunday,,Wednesday,,
US-2017-119137,2017-07-23,Standard Class,AG-10900,Arthur Gainer,Email,Tucson,Arizona,85705,West,,,,,Sunday,,,,
CA-2018-125395,2018-06-26,Second Class,LA-16780,Laura Armstrong,Sales,Taylor,Michigan,48180,Central,,,,,Tuesday,,,,
US-2018-168935,2018-11-27,Standard Class,DO-13435,Denny Ordway,Email,Pembroke Pines,Florida,33024,South,,,,,Tuesday,,,,
CA-2020-101798,2020-12-11,Standard Class,MV-18190,Mike Vittorini,Email,New York City,New York,10009,East,,2020-12-16,,,Friday,,Wednesday,,
CA-2019-108987,2019-09-08,Second Class,AG-10675,Anna Gayman,Email,Houston,Texas,77036,Central,,2019-09-13,,,Sunday,,Friday,,
CA-2020-117457,2020-12-08,Standard Class,KH-16510,Keith Herrera,Email,San Francisco,California,94110,West,,2020-12-16,,,Tuesday,,Wednesday,,
CA-2017-142048,2017-06-22,First Class,JE-15745,Joel Eaton,Email,Louisville,Colorado,80027,West,,,,,Thursday,,,,
US-2019-123750,2019-04-15,Standard Class,RB-19795,Ross Baird,Facebook,Gastonia,North Carolina,28052,South,,2019-04-24,,,Monday,,Wednesday,,
US-2017-150574,2017-12-19,Standard Class,MK-18160,Mike Kennedy,Email,Jacksonville,Florida,32216,South,,,,,Tuesday,,,,
CA-2019-100153,2019-12-13,Standard Class,KH-16630,Ken Heidel,Sales,Norman,Oklahoma,73071,Central,,2019-12-18,,,Friday,,Wednesday,,
CA-2018-109638,2018-12-15,Standard Class,JH-15985,Joseph Holt,Email,Seattle,Washington,98115,West,,,,,Saturday,,,,
CA-2017-134677,2017-10-06,Standard Class,XP-21865,Xylona Preis,Email,San Diego,California,92024,West,,,,,Friday,,,,
CA-2017-127691,2017-07-22,Standard Class,EM-14065,Erin Mull,Email,New York City,New York,10024,East,,,,,Saturday,,,,
